obligation_id,source_code,plain_language_requirement,applies_to_roles,risk_levels,system_conditions,delivery_scope,effective_from,sanction_band,priority_label
sys-art9-1,Art. 9(1)-(2),"Establish and maintain a risk management system throughout the AI system's lifecycle. Identify and analyse known and reasonably foreseeable risks, and adopt risk mitigation measures.",provider,high_risk,,system,2026-08-02,EUR 15M / 3%,high
sys-art10-1,Art. 10(1)-(5),"Training, validation, and testing data sets must meet quality criteria. Data governance practices must address relevance, representativeness, accuracy, completeness, and bias detection.",provider,high_risk,,system,2026-08-02,EUR 15M / 3%,high
sys-art11-1,Art. 11(1),"Draw up technical documentation before the system is placed on the market. Keep it up to date. Documentation must demonstrate compliance with Chapter III requirements.",provider,high_risk,,system,2026-08-02,EUR 15M / 3%,high
sys-art12-1,Art. 12(1)-(2),"Design the system with automatic logging capabilities that record events relevant to identifying risks, monitoring operation, and facilitating post-market monitoring. Logs must be appropriate to the system's intended purpose.",provider,high_risk,,system,2026-08-02,EUR 15M / 3%,high
sys-art13-1,Art. 13(1)-(3),"Design the system to be sufficiently transparent for deployers to interpret output and use it appropriately. Provide instructions for use that include concise, correct, and clear information about the system's capabilities, limitations, and intended purpose.",provider,high_risk,,system,2026-08-02,EUR 15M / 3%,high
sys-art14-1,Art. 14(1)-(4),"Design the system so that it can be effectively overseen by natural persons during its period of use. Human oversight measures must enable the overseer to understand the system's capabilities, monitor its operation, and intervene or interrupt when necessary.",provider,high_risk,,system,2026-08-02,EUR 15M / 3%,high
sys-art15-1,Art. 15(1)-(5),"Design the system to achieve appropriate levels of accuracy, robustness, and cybersecurity throughout its lifecycle. Implement measures to address errors, faults, and adversarial manipulation attempts.",provider,high_risk,,system,2026-08-02,EUR 15M / 3%,high
sys-art26-1,Art. 26(1)-(2),"Use the high-risk AI system in accordance with the instructions for use. Ensure that human oversight is exercised by natural persons who have the necessary competence, training, and authority.",deployer,high_risk,,system,2026-08-02,EUR 15M / 3%,high
sys-art26-5,Art. 26(5),"Before putting the high-risk AI system into use, carry out a data protection impact assessment under GDPR Article 35 when applicable, using the information provided by the provider under Article 13.",deployer,high_risk,,system,2026-08-02,EUR 15M / 3%,medium
sys-art27-1,Art. 27(1)-(4),"Before deploying a high-risk AI system, carry out a fundamental rights impact assessment to evaluate the system's potential effects on fundamental rights. The assessment must be notified to the relevant market surveillance authority.",deployer,high_risk,,system,2026-08-02,EUR 15M / 3%,medium
sys-art72-1,Art. 72(1)-(2),"Establish and document a post-market monitoring system that is proportionate to the nature and risks of the AI system. Actively and systematically collect and analyse data to evaluate the system's continued compliance.",provider,high_risk,,system,2026-08-02,EUR 15M / 3%,medium
sys-art73-1,Art. 73(1)-(4),"Report any serious incident to the market surveillance authority of the member state where the incident occurred. Report within 15 days (or 2 days for widespread infringements). Cooperate fully with any investigation.","provider, deployer",high_risk,,system,2026-08-02,EUR 15M / 3%,high
sys-art50-1,Art. 50(1),"Ensure that people are informed that they are interacting with an AI system, unless this is obvious from the circumstances.","provider, deployer","high_risk, limited_risk",system_interacts_with_natural_persons,system,2026-08-02,EUR 7.5M / 1%,medium
sys-art50-2,Art. 50(2),"Ensure that AI-generated or manipulated content (text, audio, image, video) is marked in a machine-readable format and is detectable as artificially generated.",provider,"high_risk, limited_risk",system_generates_synthetic_content,system,2026-08-02,EUR 7.5M / 1%,medium
sys-art50-4,Art. 50(4),"Disclose that content has been artificially generated or manipulated when it constitutes a deep fake — content that resembles real persons, objects, places, or events and could falsely appear authentic.",deployer,"high_risk, limited_risk",system_generates_synthetic_content,system,2026-08-02,EUR 7.5M / 1%,medium
